group,cluster,year,category,avg_exp_share,avg_exp_growth
Cluster 2,2.0,2023,CP044,0.0008282098529734631,0.025586091136441048
Cluster 2,2.0,2023,CP045,0.007017274295155994,0.16347264710492038
Cluster 2,2.0,2023,CP05,0.007770195490102359,-0.0009554181846290386
Cluster 2,2.0,2023,CP06,0.00566984721585633,0.051028715270665735
Cluster 2,2.0,2023,CP07,0.01946819136219785,0.07915534015323829
Cluster 2,2.0,2023,CP08,0.003472913554331675,0.010453432327766066
Cluster 2,2.0,2023,CP09,0.01386681202393088,0.016764476987575737
Cluster 2,2.0,2023,CP10,0.0031744533477093754,0.029902669364550563
Cluster 2,2.0,2023,CP11,0.022203083986262816,0.05089619413124581
Cluster 2,2.0,2023,CP12,0.019890224286797306,0.08806666761762946
Cluster 2,2.0,2023,_T,0.18490224533128485,459.06438390514876
Cluster 2,2.0,2024,CP01,0.028856094977630933,0.019456719793913755
Cluster 2,2.0,2024,CP02,0.010019642094946013,0.04762396694214876
Cluster 2,2.0,2024,CP03,0.015775922032344247,0.01045450518295384
Cluster 2,2.0,2024,CP04,0.08738084322683655,0.05274485109786902
Cluster 2,2.0,2024,CP041,0.02013907551733405,0.0812574265829231
Cluster 2,2.0,2024,CP042,0.054710941081619426,0.08566745483705264
Cluster 2,2.0,2024,CP043,0.0007775819276917969,-0.003292806484295846
Cluster 2,2.0,2024,CP044,0.0025437896201210932,0.09427065623937436
Cluster 2,2.0,2024,CP045,0.00920945508007019,-0.15343675070842114
Cluster 2,2.0,2024,CP05,0.015044777653066064,-0.035802031356855196
Cluster 2,2.0,2024,CP06,0.007080639296836714,0.05073016245381502
Cluster 2,2.0,2024,CP07,0.04204514915345337,0.025629654623894337
Cluster 2,2.0,2024,CP08,0.0065172629116145245,0.08729766261167705
Cluster 2,2.0,2024,CP09,0.03132499170052326,0.04380061895041812
Cluster 2,2.0,2024,CP10,0.008090408966596583,0.07189234474814117
Cluster 2,2.0,2024,CP11,0.03544726275352925,0.03663230161115092
Cluster 2,2.0,2024,CP12,0.04382756058618018,0.024315674257713818
Cluster 2,2.0,2024,_T,0.33141055535355773,0.03450758089786452
Cluster 3,3.0,2020,CP01,0.02595997281683126,296765.54353234585
Cluster 3,3.0,2020,CP02,0.004512243791356238,53250.74517729002
Cluster 3,3.0,2020,CP03,0.006503968198205333,81104.2950648003
Cluster 3,3.0,2020,CP04,0.02126035089316216,250088.63956563003
Cluster 3,3.0,2020,CP05,0.005569316563096661,67774.6276444275
Cluster 3,3.0,2020,CP06,0.010439609066737698,122839.41447440471
Cluster 3,3.0,2020,CP07,0.007138085718914057,-0.32688940228023966
Cluster 3,3.0,2020,CP08,0.00457020619453222,55158.95706019589
Cluster 3,3.0,2020,CP09,0.0075749796980218095,90767.46282035662
Cluster 3,3.0,2020,CP10,0.005223308136738191,59038.406231385605
Cluster 3,3.0,2020,CP11,0.011875108845067772,139301.44267327827
Cluster 3,3.0,2020,CP12,0.014281147752964768,166947.4468158183
Cluster 3,3.0,2021,CP01,0.024468396733973937,287812.10921112617
Cluster 3,3.0,2021,CP02,0.004490810840217026,57637.07084567499
Cluster 3,3.0,2021,CP03,0.007647761195851181,109297.02729015672
